"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020"
"East North Central : industrial","number of customers","ELEC.CUSTOMERS.ENC-IND.M",62177,61720,64530,62097,62096,62046,64624,64272,64433,61746,61610,61864,62248,62277,64207,62239,62145,64134,64102,64328,62957,61930,61635,61559,62077,61742,64571,61894,61605,61910,64569,64466,64527,62283,61998,61967,59848,59452,62313,59932,60000,60125,61537,61921,61739,61501,61378,61438,61837,61658,62078,61587,61638,61918,61806,61919,61525,61758,62000,61975,62375,61829,61957,62019,62278,62367,62225,62143,62247,62248,62031,62105,62050,61950,62056,62280,62046,62190,62187,62278,62287,62373,62054,62212,54885,54747,55201,54949,54654,55163,55010,55026,55011,55108,54721,54690,54843,54856,55582,55110,54909,55033,54740,55066,54914,54878,54735,54907,54034,53764,54387,54138,54303,54311,54241,54446,54082,54213,53715,53913,54200,53559,53555,54027,54034,54137,54141,54283,54086,53877,53587,53903,55204,55136,55302,55811,55834,51813,55902,55956,56652,56426,56280,56641,47390,47168,47209,47461,47397,47399,47450,47293,47359,55634,46930
"East North Central : transportation","number of customers","ELEC.CUSTOMERS.ENC-TRA.M",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,7,7,7,"NM","NM","NM","NM","NM",8,8,8,"NM",8,"NM",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"East North Central : other","number of customers","ELEC.CUSTOMERS.ENC-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois","number of customers","ELEC.CUSTOMERS.IL-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois : all sectors","number of customers","ELEC.CUSTOMERS.IL-ALL.M",5700514,5678084,5721430,5678891,5708434,5756472,5687097,5687621,5674924,5662818,5679981,5658258,5675192,5697486,5673931,5665032,5658366,5649068,5638029,5644295,5628928,5635430,5658402,5654498,5659560,5662532,5674612,5667359,5651676,5647980,5643508,5646034,5638008,5650007,5648178,5668119,5661404,5688751,5686362,5677385,5677313,5667291,5699242,5678995,5681084,5690740,5678343,5704669,5685069,5707795,5700725,5700153,5692562,5687005,5677256,5761562,5676946,5677655,5681039,5690144,5717959,5708239,5740370,5726232,5727610,5716133,5719593,5713413,5720451,5728761,5730012,5736572,5741313,5748540,5769679,5747883,5739781,5749673,5743803,5741874,5752726,5749215,5762054,5769836,5769072,5757475,5794782,5773653,5767949,5767955,5773903,5781768,5786540,5798610,5804800,5805575,5835202,5840100,5843134,5836616,5838725,5836297,5834578,5843844,5848146,5855693,5855567,5866669,5868341,5875305,5870707,5885666,5880419,5874382,5875206,5879671,5883348,5889621,5893544,5904140,5906585,5903055,5914340,5909414,5910065,5897677,5904087,5917968,5906082,5919190,5919459,5929921,5933623,5937858,5938430,5941339,5933155,5938234,5939083,5939320,5947449,5945748,5953423,5969116,5979235,5989139,5991184,5988343,5998903,5999993,6007147,6000349,6022177,5963627,6021132
"Illinois : residential","number of customers","ELEC.CUSTOMERS.IL-RES.M",5106975,5087529,5125499,5087974,5109471,5135752,5094980,5095430,5087778,5080545,5094198,5076820,5093032,5114680,5093270,5084667,5074669,5069021,5057908,5062273,5049240,5053930,5074562,5071085,5074906,5079337,5090297,5082494,5068061,5064223,5059182,5061221,5054184,5064352,5062616,5079692,5075394,5100163,5098420,5089207,5088224,5076312,5101031,5082645,5083700,5092448,5081248,5104653,5092113,5111627,5107765,5106924,5099561,5093198,5083848,5140065,5082851,5083552,5087160,5095074,5114603,5107001,5135445,5123047,5123356,5114711,5116469,5111035,5117088,5126467,5126155,5131860,5136895,5142943,5161635,5143446,5135260,5143366,5138246,5135375,5145254,5142432,5154036,5161357,5160754,5151440,5183492,5164712,5159321,5159355,5164859,5172210,5177151,5188432,5194844,5195262,5222482,5227440,5230407,5224792,5226552,5223885,5222174,5230527,5234756,5241940,5242039,5251480,5252615,5259181,5257382,5266977,5262675,5257676,5257810,5262212,5265838,5271290,5274484,5283851,5286539,5282702,5293320,5288264,5288732,5276923,5282121,5294573,5284187,5295509,5297102,5304880,5307549,5311172,5311932,5314346,5306559,5310008,5310486,5311077,5317603,5315884,5322138,5335516,5349540,5358904,5361354,5359320,5368205,5370187,5376126,5371107,5390403,5329279,5389000
"Illinois : commercial","number of customers","ELEC.CUSTOMERS.IL-COM.M",587506,584592,589905,584927,592907,614603,586053,586136,581128,576302,579791,575493,576207,576824,574758,574492,577806,574126,574203,576135,573810,575661,577984,577570,578632,577104,578383,578862,577648,577720,578305,579147,577770,579611,579530,582374,580176,582779,582128,582400,583326,585162,592351,590439,591496,592403,591200,594132,586899,590126,586906,587210,586993,587760,587388,615265,588078,588070,587879,589062,596854,594765,598409,596713,597735,594911,596635,595903,596841,595805,597360,598186,598321,599507,601943,598363,598437,600168,599459,600358,601356,600690,601921,602391,602306,600043,605283,602947,602638,602611,603034,603557,603362,604168,603973,604315,606658,606592,606706,605784,606147,606354,606357,607232,607300,607678,607481,609119,609992,610469,607625,612971,612025,610978,611688,611757,611826,612635,613406,614624,614328,614647,615312,615453,615646,614968,616221,617658,616171,617950,616694,619290,620341,620946,620764,621255,620868,622495,622847,622489,624098,624137,625532,627852,625676,626260,625872,625052,626708,625817,627005,625269,627782,628685,628235
"Illinois : industrial","number of customers","ELEC.CUSTOMERS.IL-IND.M",6029,5959,6022,5986,6052,6113,6060,6051,6014,5967,5988,5941,5949,5978,5899,5869,5887,5917,5914,5883,5874,5835,5852,5839,6018,6087,5928,5999,5963,6033,6017,5662,6050,6041,6029,6050,5831,5806,5811,5775,5760,5814,5857,5908,5885,5886,5892,5881,6054,6039,6051,6016,6005,6044,6017,6229,6014,6030,5997,6005,6498,6469,6512,6468,6515,6507,6485,6471,6519,6486,6494,6523,6094,6087,6098,6071,6081,6136,6095,6138,6113,6090,6094,6085,6009,5989,6004,5991,5987,5986,6007,5998,6024,6007,5980,5995,6059,6065,6018,6037,6023,6055,6044,6082,6087,6072,6044,6067,5731,5652,5697,5715,5716,5725,5705,5699,5681,5693,5651,5662,5715,5703,5705,5694,5684,5783,5742,5734,5721,5728,5660,5748,5730,5737,5731,5735,5725,5728,5747,5751,5745,5724,5750,5745,4016,3972,3955,3968,3987,3986,4013,3970,3989,5660,3894
"Illinois : transportation","number of customers","ELEC.CUSTOMERS.IL-TRA.M",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Illinois : other","number of customers","ELEC.CUSTOMERS.IL-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana","number of customers","ELEC.CUSTOMERS.IN-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana : all sectors","number of customers","ELEC.CUSTOMERS.IN-ALL.M",3099605,3103290,3096792,3089362,3085771,3088649,3089238,3084480,3090550,3089184,3093288,3098323,3098790,3097295,3098790,3090479,3083260,3090205,3090696,3085618,3095872,3091717,3091990,3104951,3108424,3101274,3118440,3103406,3096144,3100687,3102615,3096962,3100506,3098276,3101097,3111694,3106598,3105914,3121630,3105046,3101073,3105097,3102002,3100538,3104730,3102552,3106060,3115560,3119463,3115605,3117766,3117801,3114690,3116545,3120053,3112630,3119099,3118397,3121791,3128943,3135995,3128759,3135402,3134387,3131065,3131851,3135033,3130858,3137329,3140272,3142065,3153180,3155569,3153339,3152161,3147031,3144970,3145818,3147679,3142854,3151011,3151221,3158394,3167447,3171013,3171616,3173162,3170801,3161444,3171604,3173781,3168267,3176201,3176996,3178039,3189540,3181752,3184173,3186435,3187586,3185295,3188589,3189308,3187856,3194746,3197230,3194738,3205583,3197987,3198222,3201237,3199249,3197061,3199459,3199362,3201546,3209099,3209760,3213740,3221451,3228831,3227293,3227618,3230157,3230127,3232191,3235142,3234012,3239981,3244440,3247689,3252543,3252507,3254901,3255336,3259491,3260461,3266307,3263278,3261111,3268952,3273716,3276869,3282572,3282300,3285050,3287314,3291119,3298271,3298366,3314683,3313048,3318309,3280036,3319301
"Indiana : residential","number of customers","ELEC.CUSTOMERS.IN-RES.M",2740923,2744572,2738258,2730800,2726663,2729184,2729685,2724864,2730649,2729180,2733332,2739412,2739563,2739671,2739364,2731300,2724543,2730713,2730984,2726190,2731327,2732018,2732445,2745206,2748528,2742067,2756318,2742962,2736059,2740359,2741479,2736427,2739783,2737593,2740309,2751510,2746409,2746237,2758166,2743960,2740156,2743153,2740431,2738252,2743032,2740778,2744398,2753693,2756805,2753303,2755509,2754694,2751859,2753463,2756796,2749414,2755833,2755128,2758634,2765693,2770580,2764892,2771060,2768909,2765978,2766499,2768815,2765835,2772404,2774887,2777101,2788084,2788933,2788119,2785739,2780396,2778545,2779068,2780874,2775791,2783853,2783988,2791007,2799609,2803413,2804096,2805601,2802516,2793521,2802513,2803816,2799139,2807039,2807711,2808903,2820061,2814773,2816477,2817893,2819350,2816860,2819708,2820355,2818315,2825344,2827675,2825806,2836013,2829760,2829928,2832251,2830418,2827673,2829305,2828785,2830817,2838042,2838956,2842821,2850320,2857381,2856048,2856259,2858342,2858167,2859948,2862122,2860957,2866467,2870897,2874372,2879243,2879625,2881979,2882717,2882228,2882909,2888081,2884508,2882227,2888767,2893106,2896332,2901889,2905747,2908331,2910321,2913980,2920472,2920782,2935709,2934005,2939520,2897259,2940051
"Indiana : commercial","number of customers","ELEC.CUSTOMERS.IN-COM.M",340636,340626,340456,340461,340970,341325,341423,341533,341807,341864,341837,340893,340937,339413,341099,340919,340481,341246,341444,340859,346289,341471,341351,341658,341095,340604,343058,341646,341308,341530,342308,341713,341935,341843,342000,341542,342333,342057,345237,343265,343078,344061,343683,344307,343757,343871,343788,344003,344123,343801,343755,344626,344324,344561,344701,344621,344726,344742,344641,344751,347218,346087,346269,347326,346944,346962,348039,346801,346718,347176,346793,346904,348598,347167,348335,348347,348361,348664,348732,348923,349016,349104,349255,349765,349419,349345,349316,350045,349756,350853,351729,350917,350956,351024,350916,351304,348971,349672,350145,350163,350365,350807,350898,351427,351318,351476,350893,351564,350315,350507,351027,350927,351442,352227,352670,352795,353087,352866,352995,353262,353671,353487,353610,354048,354196,354492,355236,355263,355740,355758,355567,355593,354512,354551,354194,358749,359004,359716,360204,360336,360737,361147,361104,361235,360544,360768,361068,361212,361864,361669,363059,363174,362877,363561,363389
"Indiana : industrial","number of customers","ELEC.CUSTOMERS.IN-IND.M",18045,18091,18077,18100,18137,18139,18129,18082,18093,18139,18118,18017,18289,18210,18326,18259,18235,18245,18267,18568,18255,18227,18193,18086,18800,18602,19063,18797,18776,18797,18827,18821,18787,18839,18787,18641,17855,17619,18226,17820,17838,17882,17887,17978,17940,17902,17873,17863,18534,18500,18501,18480,18506,18520,18555,18594,18539,18526,18515,18498,18196,17779,18072,18151,18142,18389,18178,18221,18206,18208,18170,18191,18037,18052,18086,18287,18063,18085,18072,18139,18141,18128,18131,18072,18180,18174,18244,18239,18166,18237,18235,18210,18205,18260,18219,18174,18007,18023,18396,18072,18069,18073,18054,18113,18083,18078,18038,18005,17911,17786,17958,17903,17945,17926,17906,17933,17969,17937,17923,17868,17778,17757,17748,17766,17763,17750,17783,17791,17773,17784,17749,17706,18369,18370,18424,18513,18547,18509,18565,18547,19447,19462,19432,19447,16008,15950,15924,15926,15934,15914,15914,15868,15911,19215,15860
"Indiana : transportation","number of customers","ELEC.CUSTOMERS.IN-TRA.M",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Indiana : other","number of customers","ELEC.CUSTOMERS.IN-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Michigan","number of customers","ELEC.CUSTOMERS.MI-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan : all sectors","number of customers","ELEC.CUSTOMERS.MI-ALL.M",4820789,4824709,4826365,4819873,4815592,4812235,4811553,4801810,4807025,4814203,4805564,4902670,4803453,4798739,4798431,4803738,4811646,4807639,4801759,4800132,4640921,4796336,4788032,4797934,4781495,4782728,4784419,4781331,4780847,4776041,4778041,4783495,4774325,4762573,4771377,4781894,4734399,4729544,4825127,4818878,4821041,4818076,4808923,4823227,4810476,4737651,4737151,4736443,4795338,4786469,4809991,4775349,4777455,4778190,4776680,4782371,4772415,4787496,4787866,4787738,4802416,4793526,4799952,4796288,4800023,4794148,4805202,4802272,4805532,4799289,4778778,4810534,4813106,4806180,4801728,4802099,4810894,4794146,4806541,4806082,4814893,4821410,4808032,4820939,4815486,4815862,4821464,4818558,4812289,4816821,4817145,4819218,4824569,4829584,4829434,4840633,4839889,4843347,4848909,4838923,4850815,4852470,4846901,4856105,4866290,4872281,4870132,4884377,4882772,4886000,4889518,4880938,4899864,4892591,4892587,4892082,4892891,4906740,4897132,4908588,4913417,4904234,4906181,4891683,4919303,4918488,4915096,4919907,4910532,4923360,4929235,4925623,4933869,4919997,4926195,4914981,4928724,4923741,4930437,4927862,4933651,4950952,4949155,4977020,4996880,4997791,4999162,5008305,5005920,5014698,5021418,5016960,5026987,4995078,5034105
"Michigan : residential","number of customers","ELEC.CUSTOMERS.MI-RES.M",4291514,4295863,4294473,4289397,4284367,4279147,4278442,4272725,4274098,4285671,4278278,4359779,4270329,4262799,4267227,4268685,4277218,4271874,4265262,4263488,4122906,4260455,4253372,4261806,4247771,4247542,4247590,4246081,4245366,4240745,4243617,4249809,4241366,4240997,4240591,4250390,4207395,4203637,4284334,4279467,4281516,4278614,4270011,4283333,4271257,4210065,4209891,4210058,4262150,4252775,4275607,4242792,4243667,4243646,4241951,4247455,4238382,4252413,4252920,4253699,4267764,4260199,4267629,4264446,4266406,4261680,4270097,4267517,4270382,4265016,4245730,4276219,4277736,4271821,4268093,4270023,4274681,4262150,4270115,4268854,4276654,4282421,4272761,4282210,4277711,4278665,4283544,4280753,4274013,4278100,4278337,4280375,4284641,4289493,4289047,4299607,4298386,4301813,4305913,4296051,4307406,4308408,4302626,4310063,4319629,4324530,4322536,4334717,4335660,4335901,4341091,4332675,4348987,4342398,4341385,4342361,4344569,4356761,4349455,4360578,4363970,4355874,4357511,4344253,4368124,4369530,4366068,4370356,4361876,4373967,4379063,4375719,4384135,4371637,4377578,4369671,4380241,4375481,4382269,4379850,4385300,4401160,4399921,4404394,4439801,4441168,4441765,4450190,4447647,4456407,4461226,4457071,4466028,4441001,4472805
"Michigan : commercial","number of customers","ELEC.CUSTOMERS.MI-COM.M",516752,516641,518340,517952,518727,520638,519511,515760,519437,516231,515081,530246,520357,523087,517661,522160,521547,522036,522817,522964,505333,523089,522017,523503,521576,522847,523483,522930,523229,522984,520706,519881,519259,508864,518192,518815,514595,513502,527435,526737,526890,526781,525619,526550,525870,514425,514156,513240,520193,520790,521040,519620,520804,521305,521552,521895,521082,522080,521794,520877,521187,519884,518915,518512,520151,519052,521649,521299,521715,520807,519716,520983,522091,521121,520395,518806,522935,518756,523129,523932,524928,525552,522051,525373,531771,531201,531772,531800,532283,532655,532756,532780,533853,534012,534371,535029,535382,535411,536652,536541,537234,537879,538134,539861,540515,541594,541483,543367,541018,543998,542149,542095,544644,543964,544937,543406,542156,543628,541660,541879,543305,542541,542894,541375,545108,542918,543003,543503,542641,543491,544330,543983,544075,542749,543000,539541,542693,542436,542360,542229,542595,544115,543594,566847,551593,551174,551908,552499,552674,552667,554567,554273,555348,548448,555833
"Michigan : industrial","number of customers","ELEC.CUSTOMERS.MI-IND.M",12522,12204,13551,12523,12497,12449,13599,13324,13489,12300,12204,12644,12766,12852,13542,12892,12880,13728,13679,13679,12681,12791,12642,12624,12147,12338,13345,12319,12251,12311,13717,13804,13699,12711,12593,12688,12408,12404,13357,12673,12634,12680,13292,13343,13348,13160,13103,13144,12994,12903,13343,12936,12983,13238,13176,13020,12950,13002,13151,13161,13464,13442,13407,13329,13465,13415,13455,13455,13434,13465,13331,13331,13277,13236,13238,13268,13276,13238,13295,13294,13309,13435,13218,13354,6003,5995,6147,6004,5992,6065,6051,6062,6074,6078,6015,5996,6120,6122,6343,6330,6174,6182,6140,6180,6145,6156,6112,6292,6093,6100,6277,6166,6231,6227,6263,6313,6164,6349,6015,6129,6140,5817,5774,6053,6069,6038,6023,6046,6013,5900,5840,5919,5657,5609,5615,5767,5788,5822,5806,5781,5754,5675,5638,5777,"NM","NM","NM","NM","NM","NM","NM","NM","NM",5627,"NM"
"Michigan : transportation","number of customers","ELEC.CUSTOMERS.MI-TRA.M",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"NM","NM","NM","NM","NM",2,2,2,"NM","NM","NM","NM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Michigan : other","number of customers","ELEC.CUSTOMERS.MI-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio","number of customers","ELEC.CUSTOMERS.OH-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio : all sectors","number of customers","ELEC.CUSTOMERS.OH-ALL.M",5539466,5537367,5536669,5537431,5529002,5523967,5521343,5518097,5512674,5504677,5520075,5526201,5523101,5531873,5541663,5523840,5509067,5510106,5506693,5503545,5502400,5504441,5508548,5517293,5516007,5516375,5536150,5523340,5505416,5512852,5499717,5507025,5498773,5497084,5509785,5507921,5508390,5503256,5545732,5506168,5508520,5502723,5493043,5502033,5494134,5497962,5499106,5504134,5508295,5510234,5510762,5506385,5503900,5496480,5497014,5498218,5489912,5500200,5506213,5498249,5513139,5509517,5494082,5514170,5512662,5504183,5505618,5503521,5504653,5510753,5512989,5518731,5524967,5526295,5527379,5524548,5512889,5517391,5517251,5511627,5515201,5519319,5522174,5528886,5533311,5523900,5550805,5535654,5518908,5544600,5528208,5526879,5530238,5528080,5530775,5543112,5535621,5549012,5565885,5548094,5549761,5551155,5543934,5558471,5556348,5560901,5563656,5570229,5571888,5572291,5593636,5580510,5584185,5581125,5579780,5579488,5554319,5593297,5599246,5597797,5615237,5609245,5613093,5613289,5610104,5608628,5610499,5614229,5610334,5619642,5616428,5624515,5628996,5638108,5633285,5633219,5630419,5619112,5630343,5628099,5631827,5638048,5642920,5647928,5679779,5680589,5686098,5688926,5696597,5697634,5715350,5715018,5722025,5659951,5721047
"Ohio : residential","number of customers","ELEC.CUSTOMERS.OH-RES.M",4905061,4904130,4904091,4903115,4895416,4890047,4887472,4884204,4878814,4872061,4886028,4892249,4887840,4897425,4902967,4888313,4874223,4874873,4872106,4869666,4868453,4870216,4875244,4883376,4883391,4884128,4901881,4889242,4872453,4877589,4866453,4872385,4865526,4863408,4875214,4874899,4878635,4875471,4910339,4877892,4876328,4871358,4862495,4869693,4863105,4866468,4868762,4873318,4874801,4877506,4878003,4873497,4871011,4863736,4864226,4864795,4857804,4866267,4873114,4866844,4878147,4876409,4864044,4880283,4878614,4871629,4870643,4870022,4871438,4877149,4879913,4885811,4887022,4888810,4889988,4885937,4874458,4878519,4878222,4873057,4876209,4880149,4883654,4889900,4894184,4887135,4909695,4896133,4880701,4901902,4887610,4886053,4889203,4887867,4891799,4902664,4896288,4907739,4921832,4906912,4907196,4907689,4902343,4912809,4913375,4916309,4920403,4926265,4928971,4929831,4947638,4935951,4937081,4934486,4932901,4932167,4910587,4945681,4951406,4950929,4966286,4961846,4965189,4964378,4961090,4958506,4960225,4962744,4960110,4968487,4973739,4975585,4978218,4981884,4982367,4981340,4977992,4971703,4976597,4974517,4978173,4984046,4989190,4995176,5028526,5030775,5035655,5038860,5044365,5046470,5061420,5061866,5068851,5003073,5068281
"Ohio : commercial","number of customers","ELEC.CUSTOMERS.OH-COM.M",613039,611953,611331,613052,612363,612687,612703,612756,612693,611540,612909,612868,614076,613260,617411,614376,613748,614139,613500,612838,612943,613214,612346,612938,611534,611532,613442,613358,612293,614527,612689,613913,612706,613045,613955,612542,609992,608177,615325,608673,612500,611668,610840,612548,611356,611826,610697,611171,613700,613006,613089,613263,613291,613148,613229,613855,612628,614308,613618,611897,615462,613677,610792,614483,614656,613245,615626,614168,613874,614246,613766,613601,618706,618277,618131,619390,619289,619618,619821,619362,619776,619969,619355,619766,619897,617631,621800,620317,619141,623417,621455,621671,621945,621090,619930,621380,620183,622129,624791,622079,623458,624324,622573,626523,623919,625579,624218,624950,624189,623800,627174,625826,628386,627933,628212,628606,625235,629003,629261,628327,630129,628643,629143,630177,630285,631394,631585,632727,631564,632455,624048,630293,630741,636160,630782,631735,632257,631263,633586,633343,633536,633865,633609,632642,634245,632865,633479,633132,635327,634287,637010,636271,636295,637248,635917
